"Sat Apr 13 16:48:02 CEST 2013";"@Jordan_Legg";"en";"On";"that";"new";"glasses";"game";"SAAN";"!";"#green";"#eyes";"#glasses";"http://t.co/iauRmT36zY";
"Sat Apr 13 16:47:56 CEST 2013";"@alexie1313";"en";"Happy";"with";"my";"new";"pants";"and";"shoes";":D";"";"#new";"#green";"#pants";"#shoes";"#happy";"http://t.co/n7uJdPzs7R";
"Sat Apr 13 16:47:37 CEST 2013";"@UniverseHeart";"en";"#green";"#???????????";"http://t.co/pH7vCWZRUm";"http://t.co/k7BWkkxMrh";
"Sat Apr 13 16:47:12 CEST 2013";"@GreenhostIt";"en";"Competition";"and";"the";"Global";"Economy";"with";"Green";"Power";"http://t.co/rndRc5xzlP";"#renewables";"#solar";"#wind";"#green";
"Sat Apr 13 16:47:04 CEST 2013";"@MikeMcfee000";"en";"The";"assembly";"yesterday";"was";"getting";"wild";"@therealb_white";"@aintu_squad";"#green";"#mustangs";"#myguys";"http://t.co/4olVGjcMS4";
"Sat Apr 13 16:46:52 CEST 2013";"@zaitzait123";"en";"#car";"#driving";"#green";"#me";"#effects";"http://t.co/Ee0R1PDXjw";
"Sat Apr 13 16:46:30 CEST 2013";"@arandanoh";"fr";"Photo:";"Una";"mañana";"linda";"(8)";"@ecohuertos1";"@redsocunicaribe";"#girasol";"#catarina";"#yellow";"#green";"(en";"Universidad...";"http://t.co/bg0IMTxXUM";
"Sat Apr 13 16:46:28 CEST 2013";"@thegreenmileco";"en";"Carlos";"Navarro
Rocking";"#TGMC";"";"Everyone";"is";"going";"#GREEN";"";"thank";"to";"Teri";"Rios.";"#fashion";"#style";"#stylish…";"http://t.co/wFUyOcoJoM";
"Sat Apr 13 16:46:20 CEST 2013";"@Eclecticwunder";"en";"Waterfalling";"http://t.co/W9B4ZbLYCc";"#water";"#green";
"Sat Apr 13 16:46:17 CEST 2013";"@thejoshuablog";"en";"Via";"@TP_Green:";"New";"Yorker:";"‘Has";"Obama";"Already";"Given";"Up";"On";"Climate";"Change?’";"http://t.co/87GB8Jx83Q";"|";"#p2";"#green";
"Sat Apr 13 16:46:11 CEST 2013";"@prensestuis";"tr";"#eye";"#green";"#smile";"#lip";"#lipstick";"#red";"#good";"#hair";"#like";"#like4like";"#follow";"http://t.co/ACNAeEhsFL";
"Sat Apr 13 16:46:11 CEST 2013";"@yovamelia";"en";"#bored";"#fun";"#flower";"#pink";"#white";"#green";"#blue";"#bracelet";"#made";"#by";"#me";"#instagram";"#instalike…";"http://t.co/qMBv8Gwz2D";
